t,omega_ref_rpm,omega_rpm,omega_m,omega_e,ids,iqs,id_ref,iq_ref,iq_unsat,aw,Te,T_L,vd,vq,psi_r_mag,mpc_status
1.446,1500.0,1500.000428670321,157.0796775697407,314.5152185336008,4.999999950967803,0.15547219826952371,5.0,0.15547211905601185,0.15547211905601185,0.0,0.15707969408019382,0.0,1.9821421704767825,112.19231701377929,0.34650003767582543,1.0
1.447,1500.0,1500.0004286776714,157.07967757051043,314.5152185269157,4.999999951528233,0.15547219447060914,5.0,0.15547211621863882,0.15547211621863882,0.0,0.15707969389692022,0.0,1.9821422619052333,112.19231687304648,0.34650003721685035,1.0
1.448,1500.0,1500.0004286849396,157.07967757127156,314.5152185203063,4.999999952082271,0.15547219071476778,5.0,0.15547211341270795,0.15547211341270795,0.0,0.15707969371570837,0.0,1.9821423522891761,112.19231673402071,0.34650003676344415,1.0
1.449,1500.0,1500.0004286921264,157.07967757202417,314.5152185137717,4.999999952629954,0.15547218700149937,5.0,0.1554721106378605,0.1554721106378605,0.0,0.15707969353652307,0.0,1.982142441639815,112.1923165966814,0.34650003631553966,1.0
1.45,1500.0,1500.0004286992335,157.07967757276842,314.5152185073113,4.9999999531713835,0.15547218333038923,5.0,0.15547210789382235,0.15547210789382235,0.0,0.1570796933594102,0.0,1.9821425299702677,112.19231646100812,0.3465000358730702,1.0
1.451,1500.0,1500.000428706262,157.07967757350443,314.51521850092405,4.999999953706631,0.15547217970085767,5.0,0.1554721051801505,0.1554721051801505,0.0,0.15707969318424372,0.0,1.9821426172918182,112.19231632698065,0.34650003543597024,1.0
1.452,1500.0,1500.0004287132115,157.0796775742322,314.51521849460886,4.999999954235759,0.1554721761123609,5.0,0.15547210249643204,0.15547210249643204,0.0,0.15707969301092867,0.0,1.9821427036150316,112.19231619457908,0.34650003500417453,1.0
1.453,1500.0,1500.0004287200834,157.0796775749518,314.51521848836506,4.999999954758828,0.1554721725645438,5.0,0.15547209984244612,0.15547209984244612,0.0,0.15707969283955545,0.0,1.9821427889523278,112.19231606378375,0.3465000345776193,1.0
1.454,1500.0,1500.0004287268791,157.07967757566345,314.5152184821922,4.999999955275927,0.15547216905701858,5.0,0.15547209721794122,0.15547209721794122,0.0,0.15707969267017635,0.0,1.9821428733145026,112.19231593457546,0.34650003415624087,1.0
1.455,1500.0,1500.0004287335987,157.07967757636712,314.51521847608905,4.999999955787102,0.1554721655891696,5.0,0.15547209462242603,0.15547209462242603,0.0,0.15707969250260861,0.0,1.9821429567133102,112.1923158069347,0.34650003373997673,1.0
1.456,1500.0,1500.0004287402435,157.07967757706294,314.515218470055,4.999999956292455,0.15547216216066687,5.0,0.15547209205570478,0.15547209205570478,0.0,0.15707969233695276,0.0,1.9821430391592232,112.19231568084278,0.34650003332876517,1.0
1.457,1500.0,1500.000428746814,157.07967757775103,314.5152184640894,4.999999956792021,0.1554721587710471,5.0,0.1554720895174401,0.1554720895174401,0.0,0.1570796921731702,0.0,1.9821431206625375,112.19231555628093,0.34650003292254494,1.0
1.458,1500.0,1500.0004287533116,157.07967757843144,314.51521845819127,4.9999999572858735,0.1554721554198071,5.0,0.1554720870072556,0.1554720870072556,0.0,0.1570796920111767,0.0,1.9821432012353597,112.19231543323055,0.3465000325212558,1.0
1.459,1500.0,1500.000428759737,157.0796775791043,314.51521845235993,4.999999957774101,0.15547215210654047,5.0,0.1554720845248675,0.1554720845248675,0.0,0.1570796918509813,0.0,1.9821432808874484,112.19231531167343,0.34650003212483793,1.0
